folder,param1,param2,csv_name,c,d,Best_P,Delta_at_BestP,Mu_at_BestP
-10_-35,-10,-35,CHEES_-35_5000.csv,-35,5000,2.35982839767881,2.26711923906582,2.31772896532473
-12_-35,-12,-35,CHEES_-35_5000.csv,-35,5000,2.35982839767881,2.26711923906582,2.31772896532473
-14_-35,-14,-35,CHEES_-35_5000.csv,-35,5000,2.35982839767881,2.26711923906582,2.31772896532473
-16_-35,-16,-35,CHEES_-35_5000.csv,-35,5000,2.35982839767881,2.26711923906582,2.31772896532473
-18_-35,-18,-35,CHEES_-35_5000.csv,-35,5000,2.35982839767881,2.26711923906582,2.31772896532473
-20_-35,-20,-35,CHEES_-35_5000.csv,-35,5000,2.35982839767881,2.26711923906582,2.31772896532473
-22_-35,-22,-35,CHEES_-35_5000.csv,-35,5000,2.35982839767881,2.26711923906582,2.31772896532473
-24_-35,-24,-35,CHEES_-35_5000.csv,-35,5000,2.35982839767881,2.26711923906582,2.31772896532473
-26_-35,-26,-35,CHEES_-35_5000.csv,-35,5000,2.35982839767881,2.26711923906582,2.31772896532473
-28_-35,-28,-35,CHEES_-35_5000.csv,-35,5000,2.35982839767881,2.26711923906582,2.31772896532473
-30_-35,-30,-35,CHEES_-35_5000.csv,-35,5000,2.35982839767881,2.26711923906582,2.31772896532473
-5_-35,-5,-35,CHEES_-35_5000.csv,-35,5000,2.35982839767881,2.26711923906582,2.31772896532473
-6_-35,-6,-35,CHEES_-35_5000.csv,-35,5000,2.35982839767881,2.26711923906582,2.31772896532473
-7_-35,-7,-35,CHEES_-35_5000.csv,-35,5000,2.35982839767881,2.26711923906582,2.31772896532473
-8_-35,-8,-35,CHEES_-35_5000.csv,-35,5000,2.35982839767881,2.26711923906582,2.31772896532473
-5_-36,-5,-36,CHEES_-35_4900.csv,-35,4900,2.36227891945602,2.27518368738812,2.17738080169744
-6_-36,-6,-36,CHEES_-35_4900.csv,-35,4900,2.36239720068271,2.27531594883143,2.17703129628201
-7_-36,-7,-36,CHEES_-35_4900.csv,-35,4900,2.36253625014327,2.2754647186092,2.17678828835173
-8_-36,-8,-36,CHEES_-35_4900.csv,-35,4900,2.36265708694461,2.27559284657281,2.17660600929508
-10_-36,-10,-36,CHEES_-35_4900.csv,-35,4900,2.36290591653992,2.2758740798909,2.17579591622549
-12_-36,-12,-36,CHEES_-35_4900.csv,-35,4900,2.36324415212094,2.27624549831845,2.17496634506219
-14_-36,-14,-36,CHEES_-35_4900.csv,-35,4900,2.36366486140704,2.27670447310336,2.17400970759187
-16_-36,-16,-36,CHEES_-35_4900.csv,-35,4900,2.36416041781085,2.27724142221527,2.17297488988957
-5_-37,-5,-37,CHEES_-35_4900.csv,-35,4900,2.36431443041418,2.2786886233456,2.14064517671452
-6_-37,-6,-37,CHEES_-35_4900.csv,-35,4900,2.36454590953818,2.27894549189036,2.14001044119543
-18_-36,-18,-36,CHEES_-35_5000.csv,-35,5000,2.36474422186916,2.2739767471802,2.26918686722407
-7_-37,-7,-37,CHEES_-35_4900.csv,-35,4900,2.36476012342903,2.27917124906963,2.13972185898501
-8_-37,-8,-37,CHEES_-35_4900.csv,-35,4900,2.36500217785698,2.27943610989896,2.13915169895051
-20_-36,-20,-36,CHEES_-35_5000.csv,-35,5000,2.36544715807698,2.27475368578859,2.26733680720972
-10_-37,-10,-37,CHEES_-35_4900.csv,-35,4900,2.36556963327766,2.28005107517575,2.13796395254784
-12_-37,-12,-37,CHEES_-35_4900.csv,-35,4900,2.36622894112213,2.28076424724294,2.13661734697965
